Brand,Country,Business_Segment,Area,Region,CATEGORY
103,USA,Reckitt Core,North America,NAC,Other
131,USA,Reckitt Core,North America,NAC,Other
141,USA,Reckitt Core,North America,NAC,Other
151,USA,Reckitt Core,North America,NAC,Other
161,USA,Reckitt Core,North America,NAC,Other
193,USA,Reckitt Core,North America,NAC,Other
5022,Mexico,MJN Nutrition,Nutrition,Nutrition,Nutrition
3 in 1,United Kingdom,Essential Home,Europe,N Europe and ANZ,Cleaners
3 in 1,Singapore,Reckitt Core,Emerging Markets,ASEAN,Other
3 in 1,Vietnam,Reckitt Core,Emerging Markets,ASEAN,Other
3 in 1,Argentina,Essential Home,Emerging Markets,LATAM,Cleaners
3 in 1,Brazil,Essential Home,Emerging Markets,LATAM,Cleaners
3 in 1,Colombia,Essential Home,Emerging Markets,LATAM,Cleaners
3 in 1,Mexico,Essential Home,Emerging Markets,LATAM,Cleaners
3 in 1,Central America,Essential Home,Emerging Markets,LATAM,Cleaners
3 in 1,Costa Rica,Essential Home,Emerging Markets,LATAM,#N/A
3 in 1,South Africa,Reckitt Core,Emerging Markets,Africa,#N/A
Abc,China,Reckitt Core,Emerging Markets,Greater China & North Asia,Household Care
Abc,Vietnam,Reckitt Core,Emerging Markets,ASEAN,Household Care
Abc,Indonesia,Reckitt Core,Emerging Markets,ASEAN,Household Care
Abc,Unknown (GEM),Reckitt Core,Emerging Markets,South Asia,Household Care
Abc,Singapore,Reckitt Core,Emerging Markets,ASEAN,Household Care
Abc,Baltics,Essential Home,Europe,East Europe,Cleaners
Abc,Netherlands,Essential Home,Europe,West Europe,Cleaners
Abc,Ireland,Essential Home,Europe,N Europe and ANZ,Cleaners
Abc,Slovakia,Essential Home,Europe,East Europe,Cleaners
Abc,Poland,Essential Home,Europe,East Europe,Cleaners
Abc,United Kingdom,Essential Home,Europe,N Europe and ANZ,Cleaners
Abc,Czech Republic,Essential Home,Europe,East Europe,Cleaners
Abc,France,Essential Home,Europe,West Europe,Cleaners
Abc,Ecuador,Essential Home,Emerging Markets,LATAM,Cleaners
Abc,Colombia,Essential Home,Emerging Markets,LATAM,Cleaners
Abc,Costa Rica,Essential Home,Emerging Markets,LATAM,Cleaners
Abc,South Africa,Reckitt Core,Emerging Markets,Africa,#N/A
Acorvio,Singapore,MJN Nutrition,Emerging Markets,ASEAN,Other
Acorvio,Nutrition BU HQ,MJN Nutrition,null,null,Nutrition
Acorvio,Malaysia,MJN Nutrition,Nutrition,Nutrition,Nutrition
Acorvio,Indonesia,MJN Nutrition,Nutrition,Nutrition,Nutrition
Acorvio,Israel,MJN Nutrition,Nutrition,Nutrition,Nutrition
Addlerox,Indonesia,Reckitt Core,Emerging Markets,ASEAN,Self-Care
Addlerox,Vietnam,Reckitt Core,Emerging Markets,ASEAN,Self-Care
Addlerox,Germany,Reckitt Core,Europe,Central Europe,Self-Care
Addlerox,Singapore,Reckitt Core,Emerging Markets,ASEAN,Self-Care
Addlerox,South Africa,Reckitt Core,Emerging Markets,Africa,#N/A
Adulfen,Vietnam,Reckitt Core,Emerging Markets,ASEAN,Self-Care
Adulfen,Singapore,Reckitt Core,Emerging Markets,ASEAN,Self-Care
Adulfen,Indonesia,Reckitt Core,Emerging Markets,ASEAN,Self-Care
Adulfen,South Africa,Reckitt Core,Emerging Markets,Africa,#N/A
Adult Fortified Milk PWD,Indonesia,MJN Nutrition,Nutrition,Nutrition,#N/A
Adult Fortified Milk PWD,Malaysia,MJN Nutrition,Nutrition,Nutrition,#N/A
Adult Fortified Milk PWD,Philippines,MJN Nutrition,Nutrition,Nutrition,#N/A
Adult Fortified Milk PWD,Vietnam,MJN Nutrition,Nutrition,Nutrition,#N/A
Adult Sustagen,Brazil,MJN Nutrition,Nutrition,Nutrition,#N/A
Adult Sustagen,Philippines,MJN Nutrition,Nutrition,Nutrition,#N/A
Adult Sustagen,Thailand,MJN Nutrition,Nutrition,Nutrition,#N/A
Aeroblast,Vietnam,Reckitt Core,Emerging Markets,ASEAN,Other
Aeroblast,Singapore,Reckitt Core,Emerging Markets,ASEAN,Other
Aeroblast,South Africa,Reckitt Core,Emerging Markets,Africa,#N/A
Aerogard,Health BU HQ,Reckitt Core,Other,n/a,Household Care
Aerogard,Vietnam,Reckitt Core,Emerging Markets,ASEAN,Household Care
Aerogard,Malaysia,Reckitt Core,Emerging Markets,ASEAN,Household Care
Aerogard,Hygiene BU HQ,Reckitt Core,Other,n/a,Household Care
Aerogard,China,Reckitt Core,Emerging Markets,Greater China & North Asia,Household Care
Aerogard,Hong Kong,Reckitt Core,Emerging Markets,Greater China & North Asia,Household Care
Aerogard,Other HQ,Reckitt Core,Other,n/a,Household Care
Aerogard,Singapore,Reckitt Core,Emerging Markets,ASEAN,Household Care
Aerogard,New Zealand,Essential Home,Europe,N Europe and ANZ,Pest
Aerogard,Germany,Essential Home,Europe,Central Europe,Pest
Aerogard,ENA BV,Essential Home,Europe,ENA BV,Pest
Aerogard,Australia,Essential Home,Europe,N Europe and ANZ,Pest
Aerogard,Hygiene Europe HQ,Essential Home,Other,n/a,Other
Aerogard,Brazil,Essential Home,Emerging Markets,LATAM,Pest
Aerogard,Taiwan,Reckitt Core,Emerging Markets,Greater China & North Asia,#N/A
Aerogard,USA,Essential Home,North America,NAC,#N/A
Aerogard,South Africa,Reckitt Core,Emerging Markets,Africa,#N/A
Aerowax,Vietnam,Reckitt Core,Emerging Markets,ASEAN,Other
Aerowax,Singapore,Reckitt Core,Emerging Markets,ASEAN,Other
Aerowax,South Africa,Reckitt Core,Emerging Markets,Africa,#N/A
Agiolax,Singapore,MJN Nutrition,Emerging Markets,ASEAN,Other
Agiolax,Vietnam,MJN Nutrition,Emerging Markets,ASEAN,Other
Agiolax,Nutrition BU HQ,MJN Nutrition,Nutrition,Nutrition,Nutrition
Agiolax,Malaysia,MJN Nutrition,Nutrition,Nutrition,Nutrition
Agiolax,Israel,MJN Nutrition,Nutrition,Nutrition,Nutrition
Agiolax,South Africa,MJN Nutrition,Emerging Markets,Africa,#N/A
Airborne,USA,Reckitt Core,North America,NAC,Self-Care
Airborne,Vietnam,Reckitt Core,Emerging Markets,ASEAN,Self-Care
Airborne,Spain,Reckitt Core,Europe,West Europe,Self-Care
Airborne,Singapore,Reckitt Core,Emerging Markets,ASEAN,Self-Care
Airborne,Health BU HQ,Reckitt Core,Other,n/a,Self-Care
Airborne,Germany,Reckitt Core,Europe,Central Europe,Self-Care
Airborne,Korea,Reckitt Core,Emerging Markets,Greater China & North Asia,Self-Care
Airborne,Hong Kong,Reckitt Core,Emerging Markets,Greater China & North Asia,Self-Care
Airborne,Portugal,Reckitt Core,Europe,West Europe,Self-Care
Airborne,Other Caribbean,Reckitt Core,Emerging Markets,LATAM,Self-Care
Airborne,United Kingdom,Reckitt Core,Europe,North Europe,Self-Care
Airborne,Taiwan,Reckitt Core,Emerging Markets,Greater China & North Asia,Self-Care
Airborne,Costa Rica,Reckitt Core,Emerging Markets,LATAM,Self-Care
Airborne,China,Reckitt Core,Emerging Markets,Greater China & North Asia,Self-Care
Airborne,Indonesia,Reckitt Core,Emerging Markets,ASEAN,Self-Care
Airborne,Italy,Reckitt Core,Europe,South East Europe,Self-Care
Airborne,Belgium,Reckitt Core,Europe,West Europe,Self-Care
Airborne,Other HQ,Reckitt Core,Other,n/a,Self-Care
Airborne,South Africa,Reckitt Core,Emerging Markets,Africa,#N/A
Airfresh,Singapore,Reckitt Core,Emerging Markets,ASEAN,Self-Care
Airfresh,Switzerland,Reckitt Core,Europe,Central Europe,Self-Care
Airfresh,Vietnam,Reckitt Core,Emerging Markets,ASEAN,Self-Care
Airfresh,Portugal,Reckitt Core,Europe,West Europe,Self-Care
Airfresh,South Africa,Reckitt Core,Emerging Markets,Africa,#N/A
Airwick,Nordics,Essential Home,Europe,Central Europe,Air
Airwick,Nordics,Essential Home,Europe,Central Europe,Air
Airwick,Nordics,Essential Home,Europe,Central Europe,Air
Airwick,Nordics,Essential Home,Europe,Central Europe,Air
Airwick,South Africa,Reckitt Core,Emerging Markets,Africa,Household Care
Airwick,Maghreb,Reckitt Core,Emerging Markets,MENARP,Household Care
Airwick,China,Reckitt Core,Emerging Markets,Greater China & North Asia,Household Care
Airwick,Bangladesh,Reckitt Core,Emerging Markets,South Asia,Household Care
Airwick,Thailand,Reckitt Core,Emerging Markets,ASEAN,Household Care
Airwick,Vietnam,Reckitt Core,Emerging Markets,ASEAN,Household Care
Airwick,Other HQ,Reckitt Core,Other,n/a,Household Care
Airwick,Uganda & Tanzania,Reckitt Core,Emerging Markets,Africa,Household Care
Airwick,Indonesia,Reckitt Core,Emerging Markets,ASEAN,Household Care
Airwick,Kenya,Reckitt Core,Emerging Markets,Africa,Household Care
Airwick,Northern Africa,Reckitt Core,Emerging Markets,MENARP,Household Care
Airwick,Singapore,Reckitt Core,Emerging Markets,ASEAN,Household Care
Airwick,Unknown (GEM),Reckitt Core,Emerging Markets,South Asia,Household Care
Airwick,Hygiene AME HQ,Reckitt Core,Other,n/a,Other
Airwick,Egypt,Reckitt Core,Emerging Markets,MENARP,Household Care
Airwick,Hygiene BU HQ,Reckitt Core,Other,n/a,Household Care
Airwick,Sri Lanka,Reckitt Core,Emerging Markets,South Asia,Household Care
Airwick,Ghana & Ivory coast,Reckitt Core,Emerging Markets,Africa,Household Care
Airwick,Pakistan,Reckitt Core,Emerging Markets,MENARP,Household Care
Airwick,Belarus,Reckitt Core,Emerging Markets,MENARP,Household Care
Airwick,Hong Kong,Reckitt Core,Emerging Markets,Greater China & North Asia,Household Care
Airwick,DRC & Rwanda,Reckitt Core,Emerging Markets,Africa,Household Care
Airwick,Japan,Reckitt Core,Emerging Markets,Greater China & North Asia,Household Care
Airwick,Argentina,Essential Home,Emerging Markets,LATAM,Air
Airwick,Malaysia,Reckitt Core,Emerging Markets,ASEAN,Household Care
Airwick,Madagascar & Seychelles,Reckitt Core,Emerging Markets,Africa,Household Care
Airwick,Utd.Arab Emir.,Reckitt Core,Emerging Markets,MENARP,Household Care
Airwick,Nigeria,Reckitt Core,Emerging Markets,Africa,Household Care
Airwick,Philippines,Reckitt Core,Emerging Markets,ASEAN,Household Care
Airwick,Russian Fed,Reckitt Core,Emerging Markets,MENARP,Household Care
Airwick,Korea,Reckitt Core,Emerging Markets,Greater China & North Asia,Household Care
Airwick,India,Reckitt Core,Emerging Markets,South Asia,Household Care
Airwick,Saudi Arabia,Reckitt Core,Emerging Markets,MENARP,Household Care
Airwick,Health BU HQ,Reckitt Core,Other,n/a,Household Care
Airwick,Levant & Yemen,Reckitt Core,Emerging Markets,MENARP,Household Care
Airwick,Croatia,Essential Home,Europe,South East Europe,Air
Airwick,Czech Republic,Essential Home,Europe,East Europe,Air
Airwick,Romania,Essential Home,Europe,South East Europe,Air
Airwick,Poland,Essential Home,Europe,East Europe,Air
Airwick,Greece,Essential Home,Europe,South East Europe,Air
Airwick,Ireland,Essential Home,Europe,N Europe and ANZ,Air
Airwick,Nutrition BU HQ,Essential Home,Other,n/a,Air
Airwick,Central Asia,Essential Home,Europe,East Europe,Air
Airwick,Switzerland,Essential Home,Europe,Central Europe,Air
Airwick,Austria,Essential Home,Europe,Central Europe,Air
Airwick,Bulgaria,Essential Home,Europe,South East Europe,Air
Airwick,France,Essential Home,Europe,West Europe,Air
Airwick,ENA BV,Essential Home,Europe,ENA BV,Air
Airwick,Italy,Essential Home,Europe,South East Europe,Air
Airwick,West Balkans,Essential Home,Europe,South East Europe,Air
Airwick,Slovakia,Essential Home,Europe,East Europe,Air
Airwick,Mexico,Essential Home,Emerging Markets,LATAM,Air
Airwick,Iceland,Essential Home,Europe,Central Europe,Air
Airwick,Portugal,Essential Home,Europe,South East Europe,Air
Airwick,Israel,Essential Home,Europe,South East Europe,Air
Airwick,Hungary,Essential Home,Europe,South East Europe,Air
Airwick,Turkey,Essential Home,Europe,East Europe,Air
Airwick,United Kingdom,Essential Home,Europe,N Europe and ANZ,Air
Airwick,Belgium,Essential Home,Europe,West Europe,Air
Airwick,Slovenia,Essential Home,Europe,South East Europe,Air
Airwick,Baltics,Essential Home,Europe,East Europe,Air
Airwick,Spain,Essential Home,Europe,South East Europe,Air
Airwick,New Zealand,Essential Home,Europe,N Europe and ANZ,Air
Airwick,Germany,Essential Home,Europe,Central Europe,Air
Airwick,Ukraine,Essential Home,Europe,East Europe,Air
Airwick,Netherlands,Essential Home,Europe,West Europe,Air
Airwick,Kazakhstan,Essential Home,Europe,East Europe,Air
Airwick,Norway,Essential Home,Europe,Central Europe,Air
Airwick,Colombia,Essential Home,Emerging Markets,LATAM,Air
Airwick,Venezuela,Essential Home,Emerging Markets,LATAM,Air
Airwick,Other Caribbean,Essential Home,Emerging Markets,LATAM,Air
Airwick,Hygiene Europe HQ,Essential Home,Other,n/a,Other
Airwick,Chile,Essential Home,Emerging Markets,LATAM,Air
Airwick,Canada,Essential Home,North America,NAC,Air
Airwick,Costa Rica,Essential Home,Emerging Markets,LATAM,Air
Airwick,Hygiene NAC HQ,Essential Home,Other,n/a,Other
Airwick,Brazil,Essential Home,Emerging Markets,LATAM,Air
Airwick,USA,Essential Home,North America,NAC,Air
Airwick,Central America,Essential Home,Emerging Markets,LATAM,Air
Airwick,Peru,Essential Home,Emerging Markets,LATAM,Air
Airwick,Ecuador,Essential Home,Emerging Markets,LATAM,Air
Airwick,Australia,Essential Home,Europe,ANZ,Air
Airwick,Middle East,Reckitt Core,Emerging Markets,MENARP,#N/A
Airwick,Taiwan,Reckitt Core,Emerging Markets,Greater China & North Asia,#N/A
Aknemycin,Singapore,Reckitt Core,Emerging Markets,ASEAN,Other
Aknemycin,South Africa,Reckitt Core,Emerging Markets,Africa,#N/A
Aknenormin,Singapore,Reckitt Core,Emerging Markets,ASEAN,Self-Care
Aknenormin,Vietnam,Reckitt Core,Emerging Markets,ASEAN,Self-Care
Aknenormin,Portugal,Reckitt Core,Europe,West Europe,Self-Care
Aknenormin,South Africa,Reckitt Core,Emerging Markets,Africa,#N/A
Aknosan,Singapore,Reckitt Core,Emerging Markets,ASEAN,Self-Care
Aknosan,Vietnam,Reckitt Core,Emerging Markets,ASEAN,Self-Care
Aknosan,Italy,Reckitt Core,Europe,South East Europe,Self-Care
Aknosan,South Africa,Reckitt Core,Emerging Markets,Africa,#N/A
Alacta,Nordics,MJN Nutrition,Nutrition,Nutrition,Nutrition
Alacta,Other HQ,MJN Nutrition,Nutrition,Nutrition,Nutrition
Alacta,New Zealand,MJN Nutrition,Nutrition,Nutrition,Nutrition
Alacta,Germany,MJN Nutrition,Nutrition,Nutrition,Nutrition
Alacta,Chile,MJN Nutrition,Nutrition,Nutrition,Nutrition
Alacta,Nutrition BU HQ,MJN Nutrition,Nutrition,Nutrition,Nutrition
Alacta,Israel,MJN Nutrition,Nutrition,Nutrition,Nutrition
Alacta,Nicaragua,MJN Nutrition,Nutrition,Nutrition,Nutrition
Alacta,Honduras,MJN Nutrition,Nutrition,Nutrition,Nutrition
Alacta,USA,MJN Nutrition,Nutrition,Nutrition,Nutrition
Alacta,Vietnam,MJN Nutrition,Nutrition,Nutrition,Nutrition
Alacta,Peru,MJN Nutrition,Nutrition,Nutrition,Nutrition
Alacta,Thailand,MJN Nutrition,Nutrition,Nutrition,Nutrition
Alacta,Brazil,MJN Nutrition,Nutrition,Nutrition,Nutrition
Alacta,Eastern Europe,MJN Nutrition,Nutrition,Nutrition,Nutrition
Alacta,Poland,MJN Nutrition,Nutrition,Nutrition,Nutrition
Alacta,Puerto Rico,MJN Nutrition,Nutrition,Nutrition,Nutrition
Alacta,Venezuela,MJN Nutrition,Nutrition,Nutrition,Nutrition
Alacta,Malaysia,MJN Nutrition,Nutrition,Nutrition,Nutrition
Alacta,Guatemala,MJN Nutrition,Nutrition,Nutrition,Nutrition
Alacta,El Salvador,MJN Nutrition,Nutrition,Nutrition,Nutrition
Alacta,Panama,MJN Nutrition,Nutrition,Nutrition,Nutrition
Alacta,Other Caribbean,MJN Nutrition,Nutrition,Nutrition,Nutrition
Alacta,India,MJN Nutrition,Nutrition,Nutrition,Nutrition
Alacta,Belize,MJN Nutrition,Nutrition,Nutrition,Nutrition
Alacta,Ecuador,MJN Nutrition,Nutrition,Nutrition,Nutrition
Alacta,Philippines,MJN Nutrition,Nutrition,Nutrition,Nutrition
Alacta,Dominican Republic,MJN Nutrition,Nutrition,Nutrition,Nutrition
Alacta,Jamaica,MJN Nutrition,Nutrition,Nutrition,Nutrition
Alacta,Mexico,MJN Nutrition,Nutrition,Nutrition,Nutrition
Alacta,China,MJN Nutrition,Nutrition,Nutrition,Nutrition
Alacta,Indonesia,MJN Nutrition,Nutrition,Nutrition,Nutrition
Alacta,Costa Rica,MJN Nutrition,Nutrition,Nutrition,Nutrition
Alacta,Colombia,MJN Nutrition,Nutrition,Nutrition,Nutrition
Alacta,Singapore,MJN Nutrition,Emerging Markets,ASEAN,Nutrition
Alacta,Argentina,MJN Nutrition,Nutrition,Nutrition,Nutrition
"Alacta RTD 3+ (RTU, UHT)",Thailand,MJN Nutrition,Nutrition,Nutrition,#N/A
Alacta Stage 2,Philippines,MJN Nutrition,Nutrition,Nutrition,#N/A
Alacta Stage 3,Dominican Republic,MJN Nutrition,Nutrition,Nutrition,#N/A
Alacta Stage 3,Mexico,MJN Nutrition,Nutrition,Nutrition,#N/A
Alacta Stage 3,Philippines,MJN Nutrition,Nutrition,Nutrition,#N/A
Alacta Stage 3,Thailand,MJN Nutrition,Nutrition,Nutrition,#N/A
Alacta Stage 4 / 3+,Dominican Republic,MJN Nutrition,Nutrition,Nutrition,#N/A
Alactamil,Israel,MJN Nutrition,Nutrition,Nutrition,Nutrition
Alactamil,Malaysia,MJN Nutrition,Nutrition,Nutrition,Nutrition
Alactamil,Nutrition BU HQ,MJN Nutrition,Nutrition,Nutrition,Nutrition
Aladdin,Other HQ,Reckitt Core,Other,n/a,Germ Protection
Aladdin,Hygiene BU HQ,Reckitt Core,Other,n/a,Germ Protection
Aladdin,Vietnam,Reckitt Core,Emerging Markets,ASEAN,Germ Protection
Aladdin,Singapore,Reckitt Core,Emerging Markets,ASEAN,Germ Protection
Aladdin,Portugal,Essential Home,Europe,South East Europe,Cleaners
Aladdin,Spain,Essential Home,Europe,South East Europe,Cleaners
Aladdin,Hygiene Europe HQ,Essential Home,Other,n/a,Other
Aladdin,South Africa,Reckitt Core,Emerging Markets,Africa,#N/A
Algonit,Health BU HQ,Reckitt Core,Other,n/a,Self-Care
Algonit,Vietnam,Reckitt Core,Emerging Markets,ASEAN,Self-Care
Algonit,Singapore,Reckitt Core,Emerging Markets,ASEAN,Self-Care
Algonit,South Africa,Reckitt Core,Emerging Markets,Africa,#N/A
All,Nordics,Reckitt Core,Europe,Central Europe,#N/A
All,Germany,Reckitt Core,Europe,Central Europe,Intimate Wellness
All,Singapore,Reckitt Core,Emerging Markets,ASEAN,Intimate Wellness
All,Mexico,Reckitt Core,Emerging Markets,LATAM,Intimate Wellness
All,India,Reckitt Core,Emerging Markets,South Asia,Intimate Wellness
All,Hygiene BU HQ,Reckitt Core,Other,n/a,Intimate Wellness
All,Poland,Reckitt Core,Europe,East Europe,Intimate Wellness
All,Philippines,Reckitt Core,Emerging Markets,ASEAN,Intimate Wellness
All,Croatia,Reckitt Core,Europe,South East Europe,Intimate Wellness
All,United Kingdom,Reckitt Core,Europe,North Europe,Intimate Wellness
All,Indonesia,Reckitt Core,Emerging Markets,ASEAN,Intimate Wellness
All,Health BU HQ,Reckitt Core,Other,n/a,Intimate Wellness
All,Vietnam,Reckitt Core,Emerging Markets,ASEAN,Intimate Wellness
All,Greece,Reckitt Core,Europe,South East Europe,Intimate Wellness
All,Hungary,Reckitt Core,Europe,South East Europe,Intimate Wellness
All,Czech Republic,Reckitt Core,Europe,East Europe,Intimate Wellness
All,Brazil,Reckitt Core,Emerging Markets,LATAM,Intimate Wellness
All,Belgium,Essential Home,Europe,null,Other
All,Slovakia,Reckitt Core,Europe,East Europe,#N/A
All,Ireland,Reckitt Core,Europe,North Europe,#N/A
All,Netherlands,Reckitt Core,Europe,West Europe,#N/A
All,Russian Fed,Reckitt Core,Emerging Markets,MENARP,#N/A
All,USA,Reckitt Core,North America,NAC,#N/A
All,South Africa,Reckitt Core,Emerging Markets,Africa,#N/A
Allerfre,Netherlands,Reckitt Core,Europe,West Europe,Self-Care
Allerfre,Vietnam,Reckitt Core,Emerging Markets,ASEAN,Self-Care
Allerfre,Belgium,Reckitt Core,Europe,West Europe,Self-Care
Allerfre,Health BU HQ,Reckitt Core,Other,n/a,Self-Care
Allerfre,Singapore,Reckitt Core,Emerging Markets,ASEAN,Self-Care
Allerfre,South Africa,Reckitt Core,Emerging Markets,Africa,#N/A
Always,United Kingdom,Reckitt Core,Europe,North Europe,Self-Care
Always,Singapore,Reckitt Core,Emerging Markets,ASEAN,Self-Care
Always,Vietnam,Reckitt Core,Emerging Markets,ASEAN,Self-Care
Always,South Africa,Reckitt Core,Emerging Markets,Africa,#N/A
Ambiaire,Israel,MJN Nutrition,Nutrition,Nutrition,Nutrition
Ambiaire,Nutrition BU HQ,MJN Nutrition,Nutrition,Nutrition,Nutrition
Ambiaire,Malaysia,MJN Nutrition,Nutrition,Nutrition,Nutrition
Ambiaire,Singapore,Reckitt Core,Emerging Markets,ASEAN,Other
Ambiaire,Vietnam,Reckitt Core,Emerging Markets,ASEAN,Other
Ambiaire,South Africa,Reckitt Core,Emerging Markets,Africa,#N/A
Amidon Robin,Malaysia,MJN Nutrition,Nutrition,Nutrition,Nutrition
Amidon Robin,Nutrition BU HQ,MJN Nutrition,Nutrition,Nutrition,Nutrition
Amidon Robin,Israel,MJN Nutrition,Nutrition,Nutrition,Nutrition
Amidon Robin,Vietnam,Reckitt Core,Emerging Markets,ASEAN,Other
Amidon Robin,Singapore,Reckitt Core,Emerging Markets,ASEAN,Other
Amidon Robin,South Africa,Reckitt Core,Emerging Markets,Africa,#N/A
Amino Acid Based Formula,United Kingdom,MJN Nutrition,Nutrition,Nutrition,Nutrition
Amino Acid Based Formula,Nutrition BU HQ,MJN Nutrition,Nutrition,Nutrition,Nutrition
Amino Acid Based Formula,China,MJN Nutrition,Nutrition,Nutrition,Nutrition
Amino Acid Based Formula,Malaysia,MJN Nutrition,Nutrition,Nutrition,Nutrition
Amino Acid Based Formula,Israel,MJN Nutrition,Nutrition,Nutrition,Nutrition
Amope,Vietnam,Reckitt Core,Emerging Markets,ASEAN,Other
Amope,Nutrition BU HQ,MJN Nutrition,Nutrition,Nutrition,Nutrition
Amope,Israel,MJN Nutrition,Nutrition,Nutrition,Nutrition
Amope,Malaysia,MJN Nutrition,Nutrition,Nutrition,Nutrition
Amope,Costa Rica,Reckitt Core,Emerging Markets,LATAM,Intimate Wellness
Amope,Other Caribbean,Reckitt Core,Emerging Markets,LATAM,Intimate Wellness
Amope,Central America,Reckitt Core,Emerging Markets,LATAM,Intimate Wellness
Amope,Chile,Reckitt Core,Emerging Markets,LATAM,Intimate Wellness
Amope,Taiwan,Reckitt Core,Emerging Markets,Greater China & North Asia,Intimate Wellness
Amope,Singapore,Reckitt Core,Emerging Markets,ASEAN,Other
Amope,Other HQ,Reckitt Core,Other,n/a,Intimate Wellness
Amope,India,Reckitt Core,Emerging Markets,South Asia,Intimate Wellness
Amope,Health BU HQ,Reckitt Core,Other,n/a,Intimate Wellness
Amope,Hygiene LATAM HQ,Reckitt Core,Other,n/a,Other
Amope,China,Reckitt Core,Emerging Markets,Greater China & North Asia,Intimate Wellness
Amope,Nicaragua,Reckitt Core,Emerging Markets,LATAM,Intimate Wellness
Amope,Mexico,Reckitt Core,Emerging Markets,LATAM,Intimate Wellness
Amope,Brazil,Reckitt Core,Emerging Markets,LATAM,Intimate Wellness
Amope,Canada,Reckitt Core,North America,NAC,Intimate Wellness
Amope,Germany,Reckitt Core,Europe,Central Europe,Intimate Wellness
Amope,Colombia,Reckitt Core,Emerging Markets,LATAM,Intimate Wellness
Amope,France,Reckitt Core,Europe,West Europe,Intimate Wellness
Amope,USA,Reckitt Core,North America,NAC,Intimate Wellness
Amope,Argentina,Essential Home,Emerging Markets,LATAM,Other
Amope,South Africa,Reckitt Core,Emerging Markets,Africa,#N/A
Anadin,Nutrition BU HQ,MJN Nutrition,Nutrition,Nutrition,Nutrition
Anadin,Malaysia,MJN Nutrition,Nutrition,Nutrition,Nutrition
Anadin,Israel,MJN Nutrition,Nutrition,Nutrition,Nutrition
Anadin,Vietnam,Reckitt Core,Emerging Markets,ASEAN,Other
Anadin,Singapore,Reckitt Core,Emerging Markets,ASEAN,Other
Anadin,South Africa,Reckitt Core,Emerging Markets,Africa,#N/A
Anbesol,Israel,MJN Nutrition,Nutrition,Nutrition,Nutrition
Anbesol,Nutrition BU HQ,MJN Nutrition,Nutrition,Nutrition,Nutrition
Anbesol,Malaysia,MJN Nutrition,Nutrition,Nutrition,Nutrition
Anbesol,Indonesia,MJN Nutrition,Nutrition,Nutrition,Nutrition
Anil,Hygiene BU HQ,Reckitt Core,Other,n/a,Household Care
Anil,Vietnam,Reckitt Core,Emerging Markets,ASEAN,Household Care
Anil,Other HQ,Reckitt Core,Other,n/a,Household Care
Anil,Singapore,Reckitt Core,Emerging Markets,ASEAN,Household Care
Anil,ENA BV,Essential Home,Europe,ENA BV,Cleaners
Anil,Hygiene LATAM HQ,Essential Home,Other,n/a,Cleaners
Anil,Brazil,Essential Home,Emerging Markets,LATAM,Cleaners
Anil,South Africa,Reckitt Core,Emerging Markets,Africa,#N/A
Ansell,Malaysia,MJN Nutrition,Nutrition,Nutrition,Nutrition
Ansell,Nutrition BU HQ,MJN Nutrition,Nutrition,Nutrition,Nutrition
Ansell,Israel,MJN Nutrition,Nutrition,Nutrition,Nutrition
Ansell,Singapore,Reckitt Core,Emerging Markets,ASEAN,Other
Ansell,Vietnam,Reckitt Core,Emerging Markets,ASEAN,Other
Ansell,South Africa,Reckitt Core,Emerging Markets,Africa,#N/A
Aqeo,Vietnam,Reckitt Core,Emerging Markets,ASEAN,Self-Care
Aqeo,Romania,Reckitt Core,Europe,South East Europe,Self-Care
Aqeo,Singapore,Reckitt Core,Emerging Markets,ASEAN,Self-Care
Aqeo,South Africa,Reckitt Core,Emerging Markets,Africa,#N/A
Aqua-non,Israel,MJN Nutrition,Nutrition,Nutrition,Nutrition
Aqua-non,Malaysia,MJN Nutrition,Nutrition,Nutrition,Nutrition
Aqua-non,Nutrition BU HQ,MJN Nutrition,Nutrition,Nutrition,Nutrition
Aqua-non,Singapore,Reckitt Core,Emerging Markets,ASEAN,Other
Aqua-non,Vietnam,Reckitt Core,Emerging Markets,ASEAN,Other
Aqua-non,South Africa,Reckitt Core,Emerging Markets,Africa,#N/A
Aquaviron,Israel,MJN Nutrition,Nutrition,Nutrition,Nutrition
Aquaviron,Malaysia,MJN Nutrition,Nutrition,Nutrition,Nutrition
Aquaviron,Nutrition BU HQ,MJN Nutrition,Nutrition,Nutrition,Nutrition
Aquaviron,Singapore,Reckitt Core,Emerging Markets,ASEAN,Self-Care
Aquaviron,Vietnam,Reckitt Core,Emerging Markets,ASEAN,Self-Care
Aquaviron,Spain,Reckitt Core,Europe,West Europe,Self-Care
Aquaviron,South Africa,Reckitt Core,Emerging Markets,Africa,#N/A
AR (Infant Acid Reflux),Belgium,MJN Nutrition,Nutrition,Nutrition,Nutrition
AR (Infant Acid Reflux),Spain,MJN Nutrition,Nutrition,Nutrition,Nutrition
AR (Infant Acid Reflux),Portugal,MJN Nutrition,Nutrition,Nutrition,Nutrition
AR (Infant Acid Reflux),Netherlands,MJN Nutrition,Nutrition,Nutrition,Nutrition
AR (Infant Acid Reflux),Ecuador,MJN Nutrition,Nutrition,Nutrition,Nutrition
